word_id,word,normalized_word,char_length,vowel_group_count,syllable_profile,feature_flags
1,a,a,1,1,single_syllable_like,short_vowel_like
2,about,about,5,2,two_syllable_like,final_consonant|vowel_team|contrast_letter|longer_word
3,air,air,3,1,single_syllable_like,final_consonant|vowel_team|contrast_letter
4,all,all,3,1,single_syllable_like,final_cluster|final_consonant|short_vowel_like|contrast_letter
5,always,always,6,2,two_syllable_like,final_consonant|vowel_team|contrast_letter|longer_word
6,am,am,2,1,single_syllable_like,final_consonant|short_vowel_like|contrast_letter
7,and,and,3,1,single_syllable_like,final_cluster|final_consonant|short_vowel_like|contrast_letter
8,are,are,3,1,single_syllable_like,r_controlled|contrast_letter
9,argue,argue,5,2,two_syllable_like,vowel_team|r_controlled|contrast_letter|longer_word
10,arm,arm,3,1,single_syllable_like,final_cluster|final_consonant|r_controlled|contrast_letter
11,art,art,3,1,single_syllable_like,final_cluster|final_consonant|r_controlled|contrast_letter
12,at,at,2,1,single_syllable_like,final_consonant|short_vowel_like
13,away,away,4,2,two_syllable_like,vowel_team|longer_word
14,back,back,4,1,single_syllable_like,final_cluster|final_consonant|digraph|short_vowel_like|contrast_letter
15,backing,backing,7,2,two_syllable_like,final_cluster|final_consonant|digraph|contrast_letter|longer_word
16,bad,bad,3,1,single_syllable_like,final_consonant|short_vowel_like|contrast_letter
17,bag,bag,3,1,single_syllable_like,final_consonant|short_vowel_like|contrast_letter
18,bags,bags,4,1,single_syllable_like,final_cluster|final_consonant|short_vowel_like|contrast_letter
19,bake,bake,4,1,single_syllable_like,cvc_e|contrast_letter
20,baking,baking,6,2,two_syllable_like,final_cluster|final_consonant|digraph|contrast_letter|longer_word
21,ball,ball,4,1,single_syllable_like,final_cluster|final_consonant|short_vowel_like|contrast_letter
22,ballplayer,ballplayer,10,2,two_syllable_like,final_consonant|vowel_team|contrast_letter|longer_word
23,bank,bank,4,1,single_syllable_like,final_cluster|final_consonant|digraph|short_vowel_like|contrast_letter
24,bark,bark,4,1,single_syllable_like,final_cluster|final_consonant|r_controlled|contrast_letter
25,barn,barn,4,1,single_syllable_like,final_cluster|final_consonant|r_controlled|contrast_letter
26,bat,bat,3,1,single_syllable_like,final_consonant|short_vowel_like|contrast_letter
27,bath,bath,4,1,single_syllable_like,final_cluster|final_consonant|digraph|short_vowel_like|contrast_letter
28,be,be,2,1,single_syllable_like,short_vowel_like|contrast_letter
29,beach,beach,5,1,single_syllable_like,final_cluster|final_consonant|vowel_team|digraph|contrast_letter
30,bean,bean,4,1,single_syllable_like,final_consonant|vowel_team|contrast_letter
31,bear,bear,4,1,single_syllable_like,final_consonant|vowel_team|contrast_letter
32,beat,beat,4,1,single_syllable_like,final_consonant|vowel_team|contrast_letter
33,beautiful,beautiful,9,3,multisyllable_like,final_consonant|vowel_team|contrast_letter|longer_word
34,because,because,7,2,two_syllable_like,vowel_team|contrast_letter|longer_word
35,bed,bed,3,1,single_syllable_like,final_consonant|short_vowel_like|contrast_letter
36,bedroom,bedroom,7,2,two_syllable_like,final_consonant|vowel_team|contrast_letter|longer_word
37,beds,beds,4,1,single_syllable_like,final_cluster|final_consonant|short_vowel_like|contrast_letter
38,beg,beg,3,1,single_syllable_like,final_consonant|short_vowel_like|contrast_letter
39,begin,begin,5,2,two_syllable_like,final_consonant|contrast_letter|longer_word
40,bell,bell,4,1,single_syllable_like,final_cluster|final_consonant|short_vowel_like|contrast_letter
41,bench,bench,5,1,single_syllable_like,final_cluster|final_consonant|digraph|short_vowel_like|contrast_letter
42,best,best,4,1,single_syllable_like,final_cluster|final_consonant|short_vowel_like|contrast_letter
43,bet,bet,3,1,single_syllable_like,final_consonant|short_vowel_like|contrast_letter
44,bid,bid,3,1,single_syllable_like,final_consonant|short_vowel_like|contrast_letter
45,big,big,3,1,single_syllable_like,final_consonant|short_vowel_like|contrast_letter
46,bike,bike,4,1,single_syllable_like,cvc_e|contrast_letter
47,bird,bird,4,1,single_syllable_like,final_cluster|final_consonant|r_controlled|contrast_letter
48,birdhouse,birdhouse,9,2,two_syllable_like,vowel_team|r_controlled|contrast_letter|longer_word
49,birth,birth,5,1,single_syllable_like,final_cluster|final_consonant|r_controlled|digraph|contrast_letter
50,birthday,birthday,8,2,two_syllable_like,vowel_team|r_controlled|digraph|contrast_letter|longer_word
51,bit,bit,3,1,single_syllable_like,final_consonant|short_vowel_like|contrast_letter
52,bite,bite,4,1,single_syllable_like,cvc_e|contrast_letter
53,black,black,5,1,single_syllable_like,onset_cluster|final_cluster|final_consonant|digraph|short_vowel_like|contrast_letter
54,blind,blind,5,1,single_syllable_like,onset_cluster|final_cluster|final_consonant|short_vowel_like|contrast_letter
55,blink,blink,5,1,single_syllable_like,onset_cluster|final_cluster|final_consonant|digraph|short_vowel_like|contrast_letter
56,block,block,5,1,single_syllable_like,onset_cluster|final_cluster|final_consonant|digraph|short_vowel_like|contrast_letter
