word_id,word,error_code,chairman_label,abstract_detection_target,risk_priority,detection_scope,feature_trigger,surface_error_pattern,dashboard_group
1,a,SHORT_VOWEL_SHIFT,short vowel confusion,TARGET_SHORT_VOWEL_REALIZED_AS_DIFFERENT_VOWEL_CATEGORY,medium,pronunciation|reading,short_vowel_like,target short vowel is replaced by another vowel sound,vowel_errors
2,about,FINAL_CONSONANT_DELETION,final sound missing,TARGET_FINAL_CONSONANT_NOT_REALIZED_OR_TOO_WEAK_TO_CONFIRM,medium,pronunciation|reading,final_consonant,the word ends early without the target final sound,coda_errors
2,about,VOWEL_TEAM_NOT_REALIZED,word-family / pattern confusion,VOWEL_TEAM_PATTERN_SPLIT_OR_REALIZED_WITH_WRONG_VOWEL_VALUE,high,reading|spelling,vowel_team:ou,the vowel team is broken apart or mapped to the wrong sound,pattern_errors
2,about,ENCODING_PATTERN_BREAKDOWN,sound-to-spelling / dictation error,HEARD_SOUND_SEQUENCE_FAILS_TO_MAP_TO_THE_EXPECTED_SPELLING_PATTERN,medium,spelling|dictation,longer_word|vowel_team:ou,the student captures only part of the sound sequence or chooses the wrong pattern in spelling,encoding_errors
2,about,SIMILAR_CONSONANT_SHIFT,similar consonant-pair confusion,TARGET_CONSONANT_REALIZED_AS_NEARBY_L1_OR_VISUALLY_SIMILAR_CONSONANT,medium,pronunciation|reading,contrast_letter:b,"target consonant is replaced, blurred, or swapped with a nearby consonant",consonant_errors
2,about,PHONEME_COUNT_MISMATCH,segmentation weakness,REALIZED_SOUND_COUNT_DOES_NOT_MATCH_THE_EXPECTED_PHONEME_STRUCTURE,low,pronunciation|reading|segmentation_task,longer_word,"the student expands, compresses, or miscounts the word's sound structure",segmentation_errors
2,about,INCOMPLETE_SOUND_CHAIN,blending weakness,TARGET_SOUND_SEQUENCE_IS_NOT_HELD_TOGETHER_AS_ONE_CONTINUOUS_DECODING_CHAIN,low,reading|pronunciation,longer_word,"the student breaks, stalls, or loses part of the target sound chain",blending_errors
3,air,FINAL_CONSONANT_DELETION,final sound missing,TARGET_FINAL_CONSONANT_NOT_REALIZED_OR_TOO_WEAK_TO_CONFIRM,medium,pronunciation|reading,final_consonant,the word ends early without the target final sound,coda_errors
3,air,VOWEL_TEAM_NOT_REALIZED,word-family / pattern confusion,VOWEL_TEAM_PATTERN_SPLIT_OR_REALIZED_WITH_WRONG_VOWEL_VALUE,high,reading|spelling,vowel_team:ai,the vowel team is broken apart or mapped to the wrong sound,pattern_errors
3,air,ENCODING_PATTERN_BREAKDOWN,sound-to-spelling / dictation error,HEARD_SOUND_SEQUENCE_FAILS_TO_MAP_TO_THE_EXPECTED_SPELLING_PATTERN,medium,spelling|dictation,vowel_team:ai,the student captures only part of the sound sequence or chooses the wrong pattern in spelling,encoding_errors
3,air,SIMILAR_CONSONANT_SHIFT,similar consonant-pair confusion,TARGET_CONSONANT_REALIZED_AS_NEARBY_L1_OR_VISUALLY_SIMILAR_CONSONANT,medium,pronunciation|reading,contrast_letter:r,"target consonant is replaced, blurred, or swapped with a nearby consonant",consonant_errors
4,all,FINAL_CLUSTER_REDUCTION,blend / cluster distortion,FINAL_CONSONANT_CLUSTER_REDUCED_TO_FEWER_SEGMENTS_THAN_TARGET,high,pronunciation|reading,final_cluster,a final consonant cluster is simplified or partially dropped,cluster_errors
4,all,PHONEME_COUNT_MISMATCH,segmentation weakness,REALIZED_SOUND_COUNT_DOES_NOT_MATCH_THE_EXPECTED_PHONEME_STRUCTURE,medium,pronunciation|reading|segmentation_task,final_cluster,"the student expands, compresses, or miscounts the word's sound structure",segmentation_errors
4,all,FINAL_CONSONANT_DELETION,final sound missing,TARGET_FINAL_CONSONANT_NOT_REALIZED_OR_TOO_WEAK_TO_CONFIRM,medium,pronunciation|reading,final_consonant,the word ends early without the target final sound,coda_errors
4,all,SHORT_VOWEL_SHIFT,short vowel confusion,TARGET_SHORT_VOWEL_REALIZED_AS_DIFFERENT_VOWEL_CATEGORY,medium,pronunciation|reading,short_vowel_like,target short vowel is replaced by another vowel sound,vowel_errors
4,all,SIMILAR_CONSONANT_SHIFT,similar consonant-pair confusion,TARGET_CONSONANT_REALIZED_AS_NEARBY_L1_OR_VISUALLY_SIMILAR_CONSONANT,medium,pronunciation|reading,contrast_letter:l,"target consonant is replaced, blurred, or swapped with a nearby consonant",consonant_errors
5,always,FINAL_CONSONANT_DELETION,final sound missing,TARGET_FINAL_CONSONANT_NOT_REALIZED_OR_TOO_WEAK_TO_CONFIRM,medium,pronunciation|reading,final_consonant,the word ends early without the target final sound,coda_errors
