error_code,chairman_label,abstract_detection_target,detection_scope,dashboard_group,surface_error_pattern,ai_detection_note
SHORT_VOWEL_SHIFT,short vowel confusion,TARGET_SHORT_VOWEL_REALIZED_AS_DIFFERENT_VOWEL_CATEGORY,pronunciation|reading,vowel_errors,target short vowel is replaced by another vowel sound,Compare realized vowel quality against the expected short-vowel target.
SIMILAR_CONSONANT_SHIFT,similar consonant-pair confusion,TARGET_CONSONANT_REALIZED_AS_NEARBY_L1_OR_VISUALLY_SIMILAR_CONSONANT,pronunciation|reading,consonant_errors,"target consonant is replaced, blurred, or swapped with a nearby consonant","Track contrast pairs such as b/d, l/r, n/m, p/f, and related substitutions."
SCHWA_INSERTION_CLUSTER,schwa insertion,EXTRA_VOWEL_INSERTED_INSIDE_CONSONANT_CLUSTER,pronunciation,cluster_errors,an extra vowel appears between clustered consonants,Detect additional vowel energy peaks inside the target cluster.
CLUSTER_MEMBER_DELETION,blend / cluster distortion,ONE_CONSONANT_IN_CLUSTER_IS_DROPPED_BLURRED_OR_REORDERED,pronunciation|reading,cluster_errors,one part of the blend or cluster disappears or weakens,Check whether all target cluster members are realized in sequence.
FINAL_CONSONANT_DELETION,final sound missing,TARGET_FINAL_CONSONANT_NOT_REALIZED_OR_TOO_WEAK_TO_CONFIRM,pronunciation|reading,coda_errors,the word ends early without the target final sound,Look for missing release or missing coda segment at word end.
FINAL_CLUSTER_REDUCTION,blend / cluster distortion,FINAL_CONSONANT_CLUSTER_REDUCED_TO_FEWER_SEGMENTS_THAN_TARGET,pronunciation|reading,cluster_errors,a final consonant cluster is simplified or partially dropped,Track whether all target final-cluster members are preserved.
FINAL_E_RULE_NOT_REALIZED,CVCe / final-e error,FINAL_E_PATTERN_FAILS_TO_TRIGGER_EXPECTED_LONG_VOWEL_READING_OR_SPELLING,reading|spelling,pattern_errors,"the final-e pattern is ignored, collapsed, or spelled without final e",Detect loss of long-vowel realization or omission of final e in spelling.
VOWEL_TEAM_NOT_REALIZED,word-family / pattern confusion,VOWEL_TEAM_PATTERN_SPLIT_OR_REALIZED_WITH_WRONG_VOWEL_VALUE,reading|spelling,pattern_errors,the vowel team is broken apart or mapped to the wrong sound,Compare the realized vowel output against the expected team pattern.
R_CONTROLLED_VOWEL_NOT_REALIZED,word-family / pattern confusion,R_CONTROLLED_PATTERN_FAILS_TO_SURFACE_AS_THE_EXPECTED_R_COLORED_VOWEL,pronunciation|reading|spelling,pattern_errors,"the r-controlled vowel is flattened, split, or replaced",Track whether the vowel+r unit stays fused as the target pattern.
CONSONANT_DIGRAPH_NOT_REALIZED,word-family / pattern confusion,DIGRAPH_IS_READ_AS_SEPARATE_LETTERS_OR_SUBSTITUTED_WITH_A_DIFFERENT_CONSONANT,pronunciation|reading|spelling,pattern_errors,the digraph is split or replaced with a non-target consonant,Treat the digraph as one target unit and verify that unit is preserved.
PHONEME_COUNT_MISMATCH,segmentation weakness,REALIZED_SOUND_COUNT_DOES_NOT_MATCH_THE_EXPECTED_PHONEME_STRUCTURE,pronunciation|reading|segmentation_task,segmentation_errors,"the student expands, compresses, or miscounts the word's sound structure","Useful for Elkonin-box tasks, sound counting, and syllable/phoneme mismatch flags."
INCOMPLETE_SOUND_CHAIN,blending weakness,TARGET_SOUND_SEQUENCE_IS_NOT_HELD_TOGETHER_AS_ONE_CONTINUOUS_DECODING_CHAIN,reading|pronunciation,blending_errors,"the student breaks, stalls, or loses part of the target sound chain","Track pauses, resets, and dropped early sounds during connected decoding."
ENCODING_PATTERN_BREAKDOWN,sound-to-spelling / dictation error,HEARD_SOUND_SEQUENCE_FAILS_TO_MAP_TO_THE_EXPECTED_SPELLING_PATTERN,spelling|dictation,encoding_errors,the student captures only part of the sound sequence or chooses the wrong pattern in spelling,"Useful for dictation, drag-build, and typing tasks tied to the target word."
